mp-1206456,0.0000,2,1.7375
mp-1206470,0.0000,2,1.7500
mp-1206628,0.0000,2,1.7205
mp-1206833,0.0000,2,1.9631
mp-1207254,0.0000,2,1.9850
mp-1207260,0.0000,2,2.1815
mp-1207264,0.0000,2,1.7294
mp-1207269,0.0000,2,1.9934
mp-1207299,0.0000,2,1.7504
mp-10086,1.3132,0,0.0000
mp-10930,1.2587,0,0.0000
mp-10931,1.2996,0,0.0000
mp-10932,1.3244,0,0.0000
mp-3799,0.0000,2,0.0000
mp-3992,1.2541,0,0.0000
mp-3931,1.2297,0,0.0000
mp-4973,0.0000,2,0.0000
mp-5394,1.4881,0,0.0000
mp-5760,1.2363,0,0.0000
mp-555850,2.6141,1,0.0000
mp-1207509,0.0000,2,0.0000
mp-3632,2.5593,1,0.0265
mp-1013939,0.0000,2,0.1905
mp-560222,5.3459,1,0.0000
mp-6384,4.1099,1,0.0118
mp-6560,3.9815,1,0.0188
mp-1225522,0.4717,1,0.0526
mp-7744,5.7916,0,0.0000
mp-1208929,0.0000,2,1.2942
mp-1078631,0.8544,0,0.0087
mp-1078562,1.2533,0,0.0072
mp-1080650,1.6223,0,0.0040
mp-1086652,1.4324,0,0.0000
mp-12444,1.5126,0,0.0000
mp-21354,0.0733,1,0.0077
mp-561392,2.7210,1,0.0000
mp-622195,5.1645,0,0.0000
mp-557035,5.2302,1,0.0020
mp-1103970,2.0446,0,0.0007
mp-1220908,5.0584,1,0.0000
mp-1214204,0.2906,0,0.3201
mp-1104492,2.0927,0,0.0103
mp-557001,2.4788,1,0.1630
mp-1223822,4.9511,1,0.0102
mp-1186075,5.1202,1,0.0200
mp-547029,2.2518,1,0.3319
mp-989388,0.0000,2,0.4716
mp-989521,0.0000,2,0.4596
mp-1223363,4.1568,0,0.0241
mp-1229086,2.4337,1,0.0000
mp-1220058,0.0153,1,1.3512
mp-1190566,4.4542,1,0.0000
mp-1219578,5.1068,0,0.0000
mp-1223405,5.1172,0,0.0000
mp-16801,0.2226,1,0.0000
mp-17769,5.8517,1,0.0069
mp-6368,4.4107,1,0.0144
mp-1222350,5.9657,1,0.0112
mp-1222389,3.4481,1,0.0092
mp-1223274,0.0000,2,0.0471
mp-1223105,0.0000,2,0.0132
mp-1105952,4.1937,1,0.0000
mp-1189154,4.2143,1,0.0049
mp-1189612,0.4494,1,0.0000
mp-1194644,3.9250,1,0.0000
mp-1195676,0.4309,1,0.0000
mp-1205341,2.1368,1,0.0000
mp-864766,5.6118,0,0.0000
mp-557399,3.8899,1,0.0073
mp-677510,0.8786,1,0.6050
mp-942700,4.2066,1,0.0015
mp-942701,0.0000,2,0.0073
mp-942702,4.1107,1,0.0124
mp-943492,1.3691,0,0.0066
mp-23657,4.7742,1,0.0000
mp-560102,2.2159,0,0.0000
mp-729140,0.5436,0,0.3688
mp-1203440,4.2073,1,0.0000
mp-693393,4.6104,0,0.0232
mp-695559,4.7708,1,0.0225
mp-557227,4.2813,1,0.0008
mp-7580,1.8372,1,0.0000
mp-1228621,2.3670,0,0.2526
mp-1202574,0.1878,0,0.0000
mp-554599,4.3518,1,0.0047
mp-1191332,0.3033,1,0.0000
mp-557531,3.7964,0,0.0000
mp-1179999,1.2446,1,0.0365
mp-17676,2.0801,0,0.0000
mp-17918,2.4412,0,0.0000
mp-1235086,0.2739,1,0.1839
mp-1235337,0.0000,2,0.2335
mp-1235206,1.0342,1,0.1887
mp-1235506,0.9722,1,0.1929
mp-1235317,1.0414,1,0.2071
mp-1236214,0.6569,1,0.2376
mp-1236687,1.0017,1,0.1966
mp-2232163,3.7741,1,0.1237
mp-2232217,3.6246,1,0.0919
mp-2232231,3.6659,1,0.0840
mp-551403,1.8181,1,0.0264
mp-549237,1.4677,1,0.0415
mp-1196019,5.5093,0,0.0855
mp-1196465,0.1913,0,0.2101
mp-1199269,5.4444,1,0.0904
mp-1201634,5.3421,1,0.0895
mp-541750,5.5362,1,0.0773
mp-863004,0.1530,1,0.1431
mp-1227873,4.4312,0,0.0203
mp-559971,5.9008,1,0.0956
mp-2232096,3.8031,0,0.0539
mp-1213195,4.6564,1,0.0000
mp-554732,4.6867,1,0.0000
mp-1235067,0.0000,2,0.2481
mp-1236147,0.8435,1,0.2425
mp-1235827,0.8359,1,0.2449
mp-1194885,2.4277,1,0.0000
mp-1194982,2.5691,0,0.0000
mp-1195590,1.4180,0,0.0000
mp-652068,5.6585,0,0.0908
mp-720360,5.1477,1,0.0060
mp-27717,2.4626,1,0.0703
mp-560021,1.4998,1,0.0000
mp-769377,1.8907,0,0.0584
mp-768093,0.9792,1,0.0672
mp-1225708,1.7451,0,0.0487
mp-769603,1.2039,1,0.0479
mp-1190551,2.0527,0,0.0049
mp-1199926,0.0000,2,0.0000
mp-1212181,0.3744,1,0.6857
mp-19488,1.7470,1,0.0000
mp-18838,1.5234,1,0.0000
mp-769602,2.2545,1,0.0907
mp-557969,6.6249,1,0.0100
mp-560673,6.1633,1,0.0000
mp-554294,5.0262,1,0.0250
mp-554643,4.9328,1,0.0000
mp-769153,4.4629,1,0.0745
mp-1191673,5.7662,1,0.0000
mp-768092,1.5414,1,0.0589
mp-532575,5.2445,1,0.0020
mp-1203080,5.7847,0,0.0000
mp-19304,1.3684,0,0.0009
mp-555002,6.1760,1,0.0142
mp-770642,1.7329,0,0.0843
mp-1199815,1.1105,1,0.9569
mp-557006,4.4339,1,0.0000
mp-769601,1.4013,1,0.0562
mp-1080739,0.0000,2,0.0000
mp-1205247,2.8691,0,0.1439
mp-28113,3.3183,0,0.1419
mp-560960,0.3651,1,0.0063
mp-1218416,0.0000,2,0.0088
mp-1201018,0.0000,2,0.0000
mp-557161,1.2306,0,0.1462
mp-554285,4.9473,1,0.0008
mp-1194736,1.7777,0,0.0000
mp-679630,3.8160,1,0.5561
mp-1199018,2.1491,1,0.0499
mp-1204862,2.4483,0,0.1546
mp-1204819,2.0034,1,0.1535
mp-1197784,2.9405,1,0.0000
mp-28555,4.7124,0,0.0000
