fold,mp_id,crystal_system,gate_mean,gate_mace,gate_alignn,bg_true,bg_pred,gt_true,gt_pred,gt_correct,eh_true,eh_pred,eh_correct
0,mp-1206456,tetragonal,0.5739519596099854,0.5739519596099854,0.42604804039001465,0.0,0.0031026354990899563,1,1,1,1,1,1
0,mp-1207260,tetragonal,0.5687264204025269,0.5687264204025269,0.43127357959747314,0.0,0.013535327278077602,1,1,1,1,1,1
0,mp-5394,tetragonal,0.5327345728874207,0.5327345728874207,0.46726542711257935,0.9115193486213684,1.5492832660675049,0,0,1,0,0,1
0,mp-1219531,monoclinic,0.5918582677841187,0.5918582677841187,0.40814173221588135,0.6670598387718201,1.0314148664474487,1,1,1,1,1,1
0,mp-555707,monoclinic,0.5877139568328857,0.5877139568328857,0.41228604316711426,0.8704562187194824,1.4595916271209717,1,0,0,1,1,1
0,mp-556512,monoclinic,0.5645185708999634,0.5645185708999634,0.4354814291000366,1.1474024057388306,2.187913417816162,1,1,1,1,1,1
0,mp-1229086,monoclinic,0.6099307537078857,0.6099307537078857,0.39006924629211426,1.2336384057998657,3.0318164825439453,1,1,1,0,0,1
0,mp-1209092,orthorhombic,0.5946865081787109,0.5946865081787109,0.40531349182128906,0.23862312734127045,-0.06681294739246368,1,1,1,1,1,1
0,mp-16801,orthorhombic,0.5825151205062866,0.5825151205062866,0.4174848794937134,0.20097973942756653,0.16130608320236206,1,1,1,0,0,1
0,mp-1222389,triclinic,0.6151435971260071,0.6151435971260071,0.3848564028739929,1.4924770593643188,3.7628209590911865,1,1,1,0,0,1
0,mp-864766,monoclinic,0.5650529861450195,0.5650529861450195,0.43494701385498047,1.8888559341430664,5.719207286834717,0,0,1,0,0,1
0,mp-558959,triclinic,0.5821429491043091,0.5821429491043091,0.4178570508956909,1.059108853340149,1.945066213607788,1,1,1,1,1,1
0,mp-23657,cubic,0.6196732521057129,0.6196732521057129,0.3803267478942871,1.7533997297286987,4.971047878265381,1,1,1,0,0,1
0,mp-1198997,orthorhombic,0.6060973405838013,0.6060973405838013,0.39390265941619873,1.569615364074707,3.7468276023864746,0,0,1,1,1,1
0,mp-560102,orthorhombic,0.6732402443885803,0.6732402443885803,0.3267597556114197,1.168107271194458,2.3394947052001953,0,0,1,0,0,1
0,mp-1191868,orthorhombic,0.5794196128845215,0.5794196128845215,0.4205803871154785,1.673219919204712,4.151630878448486,1,1,1,1,1,1
0,mp-693393,triclinic,0.6335335969924927,0.6335335969924927,0.3664664030075073,1.7246220111846924,4.559986114501953,0,0,1,0,1,0
0,mp-1194067,monoclinic,0.6049631834030151,0.6049631834030151,0.39503681659698486,1.728375792503357,4.299136638641357,1,1,1,0,0,1
0,mp-557227,trigonal,0.6238957047462463,0.6238957047462463,0.37610429525375366,1.6641722917556763,4.135210037231445,1,1,1,0,0,1
0,mp-723282,orthorhombic,0.5330669283866882,0.5330669283866882,0.46693307161331177,1.1591742038726807,2.160003900527954,0,0,1,1,1,1
