material_id,row_index,raw_gt,merged_gt,eh_class,bandgap,ehull
mp-1204181,422,2,1,1,0.0000,1.1808
mp-555884,1482,1,1,0,0.6057,0.0000
mp-1213776,556,0,0,0,0.1448,0.0138
mp-2230438,622,1,1,1,0.5763,0.1484
mp-865182,471,1,1,0,1.7563,0.0000
mp-28038,1642,1,1,0,0.5947,0.0000
mp-555517,1044,2,1,0,0.0000,0.0135
mp-1095595,785,1,1,0,1.6628,0.0025
mp-568916,1521,0,0,0,1.9503,0.0000
mp-556418,452,1,1,0,3.9643,0.0000
mp-695559,79,1,1,0,4.7708,0.0225
mp-683967,1574,0,0,0,3.4292,0.0000
mp-567543,1474,1,1,0,0.2051,0.0000
mp-1205307,472,1,1,0,1.8865,0.0059
mp-560192,542,1,1,0,2.1827,0.0064
mp-554627,692,0,0,0,0.8184,0.0015
mp-1205361,1740,0,0,0,1.0601,0.0613
mp-1105952,61,1,1,0,4.1937,0.0000
mp-1197810,310,1,1,0,1.9469,0.0000
mp-1203080,141,0,0,0,5.7847,0.0000
mp-3632,21,1,1,0,2.5593,0.0265
mp-639335,1211,1,1,1,0.1832,0.1250
mp-22975,1414,1,1,0,2.6398,0.0000
mp-1190551,127,0,0,0,2.0527,0.0049
mp-1206872,1284,0,0,1,0.0762,2.9642
mp-769602,132,1,1,0,2.2545,0.0907
mp-653586,417,1,1,1,0.2488,0.3099
mp-680059,583,1,1,0,1.6865,0.0000
mp-1147601,401,2,1,1,0.0000,0.2751
mp-23146,357,1,1,0,4.3633,0.0000
mp-558538,904,1,1,0,4.2961,0.0009
mp-1197963,820,0,0,0,2.4325,0.0000
mp-23465,1415,1,1,0,2.7815,0.0000
mp-653840,383,2,1,0,0.0000,0.0000
mp-680836,1745,1,1,0,0.3919,0.0209
mp-3799,13,2,1,0,0.0000,0.0000
mp-683957,1560,1,1,0,1.4914,0.0000
mp-559940,554,1,1,0,1.7401,0.0127
mp-542662,1446,1,1,0,1.4589,0.0000
mp-559237,668,0,0,0,2.6640,0.0000
mp-608398,565,1,1,0,1.8326,0.0937
mp-1194736,156,0,0,0,1.7777,0.0000
mp-1018667,1399,2,1,0,0.0000,0.0309
mp-555056,572,0,0,1,1.6653,0.1244
mp-1212181,129,1,1,1,0.3744,0.6857
mp-29231,635,2,1,0,0.0000,0.0280
mp-553947,1071,1,1,0,3.3870,0.0000
mp-605821,1214,1,1,0,1.2122,0.0417
mp-1173327,827,2,1,1,0.0000,0.2682
mp-23586,313,1,1,0,1.5348,0.0014
mp-985582,811,1,1,0,2.1923,0.0189
mp-1203316,1573,1,1,0,1.3777,0.0009
mp-560960,151,1,1,0,0.3651,0.0063
mp-710062,944,1,1,0,3.6908,0.0212
mp-29420,1129,0,0,0,1.3426,0.0000
mp-15380,955,0,0,0,1.9538,0.0000
mp-669364,862,1,1,0,2.4339,0.0000
mp-557035,37,1,1,0,5.2302,0.0020
mp-1193560,1029,1,1,0,2.3641,0.0000
mp-558360,479,1,1,0,2.2534,0.0000
mp-1080544,774,2,1,1,0.0000,0.5026
mp-1193128,1621,0,0,0,2.5124,0.0000
mp-549058,938,1,1,0,1.8100,0.0039
mp-27246,644,0,0,0,2.9943,0.0000
mp-1219504,1435,1,1,0,2.6933,0.0021
mp-1238685,513,1,1,0,2.6601,0.0002
mp-1207211,824,1,1,1,1.5577,0.5770
mp-1234080,1101,1,1,1,0.7350,0.1206
mp-1193838,1747,1,1,0,1.1657,0.0411
mp-680211,1144,2,1,0,0.0000,0.0141
mp-2767093,1491,1,1,0,0.4888,0.0000
mp-1062795,780,2,1,1,0.0000,0.6646
mp-558270,497,1,1,1,2.3109,0.1710
mp-1223192,464,0,0,0,4.3510,0.0120
mp-554769,637,1,1,0,0.7950,0.0172
mp-17745,205,2,1,0,0.0000,0.0000
mp-570186,1677,1,1,0,1.0077,0.0000
mp-556414,1073,1,1,0,4.3242,0.0000
mp-560549,991,1,1,0,1.3674,0.0000
mp-29568,594,1,1,0,1.8602,0.0000
mp-558408,1743,1,1,0,0.2498,0.0065
mp-22392,891,2,1,1,0.0000,0.3909
mp-1210546,301,1,1,0,0.8894,0.0214
mp-1196912,984,1,1,0,1.6399,0.0000
mp-1195190,967,2,1,1,0.0000,0.7926
mp-1208844,630,1,1,0,2.9463,0.0000
mp-1216409,837,0,0,1,0.6008,0.3000
mp-28579,1731,0,0,0,1.4667,0.0000
mp-556868,1487,2,1,0,0.0000,0.0000
mp-1195835,1512,0,0,0,1.2309,0.0000
mp-558143,450,1,1,0,3.0308,0.0000
mp-1215990,391,1,1,1,1.5051,0.2743
mp-28470,1765,2,1,0,0.0000,0.0019
mp-27938,856,0,0,0,1.7784,0.0000
mp-1209865,1194,2,1,0,0.0000,0.0012
mp-1202858,425,0,0,0,2.1278,0.0000
mp-703875,656,1,1,0,2.6796,0.0110
mp-561126,809,0,0,0,2.5480,0.0000
mp-661715,566,2,1,1,0.0000,1.3660
mp-29716,1683,1,1,0,2.1847,0.0000
mp-555942,940,1,1,0,4.1220,0.0000
mp-1205799,823,2,1,1,0.0000,0.1212
mp-2646936,830,0,0,1,0.1360,0.1201
mp-680058,1759,1,1,0,1.7538,0.0000
mp-559097,266,1,1,0,1.6270,0.0200
mp-554294,135,1,1,0,5.0262,0.0250
mp-17769,55,1,1,0,5.8517,0.0069
mp-560193,1165,1,1,0,2.7633,0.0000
mp-554413,1371,2,1,0,0.0000,0.0432
mp-558504,1440,1,1,0,3.7930,0.0033
mp-1219205,175,0,0,0,3.5041,0.0008
mp-29097,1652,1,1,0,2.0454,0.0000
mp-1219635,1066,1,1,0,2.2064,0.0137
mp-1220908,39,1,1,0,5.0584,0.0000
mp-555028,290,1,1,1,0.8025,0.1354
mp-1197501,1225,1,1,0,3.1938,0.0046
mp-1196140,1126,1,1,0,1.4437,0.0062
mp-1079481,721,1,1,1,0.1479,0.3612
mp-1199992,1517,0,0,0,2.3912,0.0000
mp-729342,549,1,1,1,1.1148,0.1986
mp-1209349,722,2,1,0,0.0000,0.0275
mp-574529,1090,0,0,0,1.4066,0.0000
mp-989388,46,2,1,1,0.0000,0.4716
mp-989521,47,2,1,1,0.0000,0.4596
mp-1223994,1206,1,1,0,0.2181,0.0282
mp-769153,137,1,1,0,4.4629,0.0745
mp-558350,1629,1,1,0,3.3087,0.0000
mp-1208978,928,2,1,1,0.0000,1.3361
mp-629511,688,2,1,0,0.0000,0.0000
mp-1213106,319,1,1,0,1.2200,0.0803
mp-723419,255,1,1,0,1.9679,0.0000
mp-29843,1158,1,1,0,1.1039,0.0043
mp-720985,1045,0,0,0,2.5753,0.0388
mp-1193877,1455,1,1,0,1.2582,0.0000
mp-1188957,1644,1,1,0,1.1540,0.0540
mp-27616,305,0,0,0,2.9329,0.0000
mp-1173335,826,2,1,1,0.0000,0.2673
mp-998366,1240,2,1,0,0.0000,0.0601
mp-559307,854,1,1,0,1.6135,0.0059
mp-1202980,1525,1,1,0,3.1640,0.0000
mp-1194050,666,2,1,0,0.0000,0.0769
mp-510346,1196,1,1,0,0.7435,0.0254
mp-769588,209,1,1,0,1.0429,0.0725
mp-29991,1507,0,0,0,1.3766,0.0047
mp-1227702,427,1,1,0,4.2895,0.0301
mp-2229416,506,1,1,1,0.4755,0.3675
mp-1206068,658,1,1,0,1.6270,0.0027
mp-1264957,1023,1,1,1,1.8001,0.2032
mp-555900,613,1,1,0,1.6183,0.0020
mp-1224197,697,1,1,1,0.8789,0.5993
mp-561112,1056,0,0,0,4.0939,0.0001
mp-1207611,775,1,1,1,1.0647,0.3283
mp-2646926,842,1,1,1,0.1458,0.1216
mp-556910,346,1,1,0,2.6328,0.0000
mp-624117,1488,1,1,0,2.2975,0.0009
mp-5760,18,0,0,0,1.2363,0.0000
mp-555645,681,0,0,0,0.5368,0.0328
mp-1219578,52,0,0,0,5.1068,0.0000
mp-1233289,1531,1,1,1,0.0029,0.1107
mp-561321,227,1,1,1,2.2285,0.1462
mp-2239851,577,1,1,1,0.7640,0.2111
mp-1235024,1541,2,1,0,0.0000,0.0399
mp-1220227,411,1,1,0,2.8926,0.0206
mp-1194909,1095,1,1,0,1.1220,0.0000
mp-555458,865,2,1,0,0.0000,0.0222
mp-554265,558,1,1,0,3.2869,0.0001
mp-662556,1653,1,1,0,1.9421,0.0000
mp-1235353,1691,1,1,0,0.2672,0.0336
mp-1224043,672,0,0,0,0.9666,0.0085
mp-557130,1431,0,0,0,3.7044,0.0000
mp-556087,343,1,1,0,1.2595,0.0445
mp-31075,1216,1,1,0,1.3272,0.0000
mp-570084,1296,0,0,0,1.2264,0.0044
mp-676121,766,1,1,0,0.3739,0.0739
mp-1189348,1736,2,1,1,0.0000,0.3260
mp-541401,950,1,1,1,2.3512,0.1080
mp-2017348,474,0,0,0,2.2983,0.0078
mp-1204693,282,0,0,0,2.2909,0.0074
mp-28113,150,0,0,1,3.3183,0.1419
mp-1198176,1164,1,1,0,1.9186,0.0000
mp-570268,1292,1,1,0,0.5352,0.0043
mp-628665,1436,1,1,0,2.1634,0.0000
mp-29178,1329,1,1,0,4.6038,0.0000
mp-561998,1075,1,1,0,2.1714,0.0000
mp-558130,347,1,1,0,0.8540,0.0000
mp-29573,392,1,1,0,1.9430,0.0060
mp-1223909,1728,0,0,0,0.4591,0.0240
mp-569824,1459,2,1,0,0.0000,0.0242
mp-1173616,1576,0,0,0,2.6540,0.0000
mp-1211452,650,1,1,0,2.7908,0.0000
