material_id,row_index,raw_gt,merged_gt,eh_class,bandgap,ehull
mp-989521,47,2,1,1,0.0000,0.4596
mp-28929,789,0,0,0,2.7811,0.0000
mp-687088,1630,1,1,0,2.4162,0.0667
mp-568653,1141,2,1,1,0.0000,0.2724
mp-1198418,1513,1,1,0,1.1624,0.0000
mp-865182,471,1,1,0,1.7563,0.0000
mp-607953,1260,1,1,0,0.0864,0.0000
mp-23635,1085,1,1,0,1.4347,0.0000
mp-1234428,1107,1,1,0,0.7101,0.0821
mp-1195590,118,0,0,0,1.4180,0.0000
mp-1229221,264,1,1,1,1.5494,0.1476
mp-1194018,404,1,1,1,0.1610,0.6330
mp-557628,192,1,1,0,1.1714,0.0000
mp-979264,1562,1,1,0,1.0896,0.0000
mp-1102615,1420,1,1,0,0.0140,0.0242
mp-1204544,1372,1,1,0,3.2424,0.0214
mp-8500,186,1,1,1,2.6080,0.1084
mp-1323771,166,1,1,1,0.0512,3.0918
mp-1216262,970,1,1,1,0.1477,0.1910
mp-1233665,232,1,1,1,2.7551,0.1461
mp-680308,1133,0,0,0,0.1172,0.0990
mp-557470,214,2,1,0,0.0000,0.0000
mp-680836,1745,1,1,0,0.3919,0.0209
mp-1207509,20,2,1,0,0.0000,0.0000
mp-1215096,849,1,1,1,0.3660,1.1158
mp-559779,349,1,1,0,2.6289,0.0000
mp-1194412,1224,0,0,0,2.8329,0.0000
mp-560356,807,0,0,0,2.5736,0.0000
mp-1234333,1105,1,1,0,1.0606,0.0868
mp-559540,358,1,1,0,4.5467,0.0000
mp-710168,1467,1,1,0,2.5868,0.0182
mp-1225346,178,0,0,0,3.6131,0.0063
mp-1235409,1690,1,1,0,0.2835,0.0464
mp-13339,1340,1,1,0,0.7291,0.0095
mp-569902,1122,1,1,1,1.8425,0.1588
mp-555012,341,1,1,0,1.2950,0.0512
mp-1206456,0,2,1,1,0.0000,1.7375
mp-675987,822,2,1,1,0.0000,0.1832
mp-1198077,1496,0,0,0,1.1293,0.0444
mp-1209341,649,1,1,0,2.7479,0.0022
mp-29955,1306,1,1,0,1.2970,0.0000
mp-505564,1156,1,1,0,1.0179,0.0000
mp-29903,1334,1,1,0,4.4542,0.0000
mp-28938,1406,0,0,0,0.7027,0.0000
mp-560021,122,1,1,0,1.4998,0.0000
mp-557231,1349,1,1,0,3.7470,0.0000
mp-1205269,869,1,1,1,1.1777,0.6368
mp-1247930,821,2,1,1,0.0000,0.1669
mp-23645,428,1,1,0,4.2054,0.0000
mp-559379,1433,1,1,0,3.1556,0.0000
mp-2240378,363,1,1,1,0.3029,0.2359
mp-561321,227,1,1,1,2.2285,0.1462
mp-1194971,1057,1,1,0,3.1026,0.0000
mp-541401,950,1,1,1,2.3512,0.1080
mp-554643,136,1,1,0,4.9328,0.0000
mp-17745,205,2,1,0,0.0000,0.0000
mp-573010,287,0,0,1,3.5362,0.1882
mp-638749,1651,1,1,0,0.7702,0.0000
mp-568778,1609,1,1,0,0.8012,0.0000
mp-1219504,1435,1,1,0,2.6933,0.0021
mp-1213068,1294,1,1,0,1.0381,0.0583
mp-1236214,95,1,1,1,0.6569,0.2376
mp-560639,198,1,1,0,2.6548,0.0012
mp-558946,934,1,1,0,1.3343,0.0039
mp-2217837,210,1,1,1,0.6807,0.4120
mp-1220960,1586,1,1,0,1.4673,0.0004
mp-1208155,308,1,1,0,1.5302,0.0000
mp-567734,1093,0,0,0,2.1167,0.0000
mp-640341,468,1,1,0,1.6862,0.0000
mp-2241078,496,1,1,1,0.8791,0.2526
mp-10931,11,0,0,0,1.2996,0.0000
mp-1220146,836,2,1,0,0.0000,0.0000
mp-726716,1428,2,1,1,0.0000,0.5475
mp-1204852,426,1,1,1,0.3979,0.4519
mp-1236376,1694,1,1,0,0.2446,0.0478
mp-1197646,1628,0,0,0,3.0197,0.0000
mp-769602,132,1,1,0,2.2545,0.0907
mp-1211900,772,0,0,1,1.0356,0.1631
mp-1234664,1687,2,1,1,0.0000,0.1126
mp-1203849,1186,1,1,0,1.6847,0.0000
mp-680421,689,2,1,0,0.0000,0.0000
mp-31037,1708,1,1,0,0.8278,0.0000
mp-6560,25,1,1,0,3.9815,0.0188
mp-27717,121,1,1,0,2.4626,0.0703
mp-541667,1219,1,1,0,0.9901,0.0004
mp-554153,528,0,0,1,1.5929,0.2990
mp-1225117,864,1,1,0,0.4765,0.0073
mp-672345,482,2,1,1,0.0000,0.3548
mp-1235353,1691,1,1,0,0.2672,0.0336
mp-1188722,1522,2,1,1,0.0000,0.1926
mp-962058,976,0,0,1,1.8941,0.8288
mp-1203042,1597,1,1,0,0.8856,0.0000
mp-542474,314,1,1,0,1.4043,0.0139
mp-31038,973,1,1,0,0.8067,0.0000
mp-559037,761,1,1,0,0.5826,0.0000
mp-542426,812,0,0,0,0.4529,0.0210
mp-1189737,461,1,1,1,0.0294,0.6772
mp-29880,470,1,1,0,3.5037,0.0000
mp-1214731,929,2,1,1,0.0000,1.2560
mp-550564,1422,2,1,1,0.0000,0.1194
mp-570324,1671,1,1,0,2.1010,0.0000
mp-1235506,93,1,1,1,0.9722,0.1929
mp-36600,641,1,1,0,0.3977,0.0683
mp-27688,1749,1,1,0,1.7449,0.0000
mp-1204736,1118,1,1,1,0.3869,0.3010
mp-1191291,736,0,0,1,2.4712,0.9014
mp-560845,395,1,1,0,1.4078,0.0286
mp-1104676,1266,1,1,0,0.0757,0.0000
mp-1147671,295,2,1,0,0.0000,0.0668
mp-540998,1676,1,1,0,1.0553,0.0000
mp-557331,446,1,1,1,0.9611,0.2530
mp-555088,743,1,1,0,2.8096,0.0189
mp-652046,634,1,1,0,1.6485,0.0000
mp-557791,275,1,1,1,1.2491,0.1236
mp-645663,1265,1,1,0,1.4869,0.0000
mp-1198778,1680,0,0,0,1.4039,0.0488
mp-559514,451,1,1,0,3.0831,0.0000
mp-1207301,926,2,1,1,0.0000,1.7299
mp-680185,1316,1,1,0,1.2321,0.0000
mp-1021490,182,1,1,0,2.6861,0.0438
mp-1196459,1264,0,0,0,1.8019,0.0000
mp-560102,75,0,0,0,2.2159,0.0000
mp-542064,272,1,1,0,1.8017,0.0404
mp-1191663,1580,1,1,1,0.1776,0.1017
mp-572313,1622,2,1,0,0.0000,0.0136
mp-1204726,684,0,0,0,3.0328,0.0000
mp-1195597,1254,1,1,0,1.5193,0.0000
mp-23318,307,1,1,0,1.9636,0.0000
mp-1212718,1606,1,1,0,1.3147,0.0000
mp-28722,553,1,1,0,1.8217,0.0559
mp-1197810,310,1,1,0,1.9469,0.0000
mp-29450,1275,1,1,1,1.2273,0.1256
mp-2647049,839,0,0,1,0.0720,0.1185
mp-582444,1177,1,1,0,0.0736,0.0026
mp-671888,1174,1,1,0,0.7896,0.0193
mp-571250,1124,0,0,0,1.9078,0.0000
mp-1197963,820,0,0,0,2.4325,0.0000
mp-510727,1344,1,1,0,3.1780,0.0000
mp-2646919,835,0,0,1,0.1339,0.1101
mp-1196993,1589,1,1,0,1.1443,0.0029
mp-554419,1024,1,1,1,0.7540,0.1072
mp-1219275,1058,1,1,0,1.2869,0.0000
mp-42091,372,1,1,0,3.9145,0.0056
mp-29541,1760,1,1,0,1.5853,0.0000
mp-541510,1175,2,1,0,0.0000,0.0075
mp-2230365,623,1,1,1,0.6648,0.1278
mp-985582,811,1,1,0,2.1923,0.0189
mp-1202255,931,0,0,0,1.1750,0.0012
mp-573321,1734,1,1,0,0.5150,0.0080
mp-769588,209,1,1,0,1.0429,0.0725
mp-1214778,1369,2,1,1,0.0000,1.1986
mp-555237,320,0,0,0,4.7054,0.0000
mp-1202357,1223,1,1,0,1.4231,0.0000
mp-1223572,459,1,1,0,1.7769,0.0270
mp-1224031,1295,1,1,0,0.0308,0.0476
mp-1202858,425,0,0,0,2.1278,0.0000
mp-1193551,1078,1,1,0,0.2982,0.0065
mp-1193891,1360,2,1,1,0.0000,0.1775
mp-557531,86,0,0,0,3.7964,0.0000
mp-1226363,334,2,1,0,0.0000,0.0000
mp-29689,1757,1,1,0,0.5137,0.0000
mp-720985,1045,0,0,0,2.5753,0.0388
mp-695559,79,1,1,0,4.7708,0.0225
mp-866713,502,1,1,0,2.3274,0.0000
mp-28037,704,0,0,0,0.9875,0.0000
mp-1233961,1102,2,1,0,0.0000,0.0689
mp-1217635,173,0,0,0,3.5880,0.0054
mp-1215129,360,2,1,1,0.0000,0.6902
mp-723419,255,1,1,0,1.9679,0.0000
mp-567556,1221,1,1,0,1.1429,0.0012
mp-1235057,1543,1,1,0,0.0282,0.0355
mp-559911,728,1,1,0,0.6915,0.0000
mp-1235303,1441,1,1,1,0.3837,0.2213
mp-2017348,474,0,0,0,2.2983,0.0078
mp-1223994,1206,1,1,0,0.2181,0.0282
mp-560359,291,1,1,0,1.5664,0.0432
mp-1194678,1442,1,1,0,2.8168,0.0000
mp-1213819,990,2,1,1,0.0000,0.7232
mp-560107,207,1,1,0,2.4223,0.0458
mp-1219046,853,0,0,0,1.0658,0.0559
mp-1194885,116,1,1,0,2.4277,0.0000
mp-17918,89,0,0,0,2.4412,0.0000
mp-560222,23,1,1,0,5.3459,0.0000
mp-1205341,66,1,1,0,2.1368,0.0000
mp-1236687,96,1,1,1,1.0017,0.1966
mp-1228296,589,0,0,0,2.6061,0.0000
mp-1048555,1036,1,1,1,1.6680,0.1446
mp-543029,1732,2,1,0,0.0000,0.0000
mp-1229155,457,1,1,0,1.5994,0.0000
mp-623135,1460,1,1,0,1.3962,0.0285
mp-558770,284,1,1,1,2.4350,0.2095
mp-557980,665,1,1,1,0.9281,0.3570
mp-556763,949,1,1,1,1.2297,0.1558
mp-1194695,1383,1,1,1,2.3970,0.1779
mp-541817,1314,1,1,0,0.6270,0.0000
mp-559874,1473,1,1,0,2.1486,0.0072
mp-561134,855,1,1,0,0.6252,0.0889
mp-639138,1012,2,1,0,0.0000,0.0000
mp-561414,742,1,1,0,2.0351,0.0611
mp-2912506,773,0,0,1,1.3709,0.1484
mp-10932,12,0,0,0,1.3244,0.0000
mp-1147540,705,2,1,1,0.0000,0.2801
mp-28579,1731,0,0,0,1.4667,0.0000
mp-1195159,907,0,0,0,2.8113,0.0000
mp-560777,550,1,1,0,2.3443,0.0457
mp-557006,146,1,1,0,4.4339,0.0000
mp-654051,872,2,1,0,0.0000,0.0000
mp-1233439,1532,2,1,0,0.0000,0.0674
mp-1196151,537,1,1,0,1.4549,0.0000
mp-27938,856,0,0,0,1.7784,0.0000
mp-1219630,1244,0,0,0,1.6949,0.0000
mp-557464,1162,1,1,0,2.4435,0.0328
mp-585964,586,1,1,1,1.8447,0.1512
mp-1173448,1120,0,0,0,0.9387,0.0073
mp-653579,300,1,1,0,1.6748,0.0000
mp-540984,1389,1,1,0,2.7227,0.0141
mp-571404,1305,1,1,0,1.2692,0.0053
mp-1356028,1555,1,1,1,0.0859,3.4928
mp-669474,1364,1,1,0,3.1862,0.0103
mp-1213106,319,1,1,0,1.2200,0.0803
mp-866695,1097,1,1,0,2.3069,0.0000
mp-27829,1131,1,1,0,2.6051,0.0000
mp-1216939,1343,1,1,0,2.7386,0.0000
mp-9405,906,1,1,0,3.6512,0.0069
mp-555408,196,0,0,1,2.0126,0.1996
mp-677510,69,1,1,1,0.8786,0.6050
mp-561998,1075,1,1,0,2.1714,0.0000
mp-680698,795,2,1,0,0.0000,0.0360
mp-556551,1008,1,1,0,2.9930,0.0000
mp-1212165,969,2,1,1,0.0000,0.7828
mp-6407,936,0,0,0,1.7292,0.0147
mp-31263,296,1,1,0,1.2286,0.0000
mp-13287,1339,0,0,0,0.9884,0.0000
mp-728416,1373,1,1,1,0.5386,0.1069
